time,Naive T-cells,helper T-cells,cytotoxic cells,Treg-cells,Naive Dendritic cells,Dendritic cells,Macrophages,Cancer,Necrotic cells,\mu_1,\mu_2,HMGB1,IFN-\gamma,TNF-eta,5-FU,IR,LV
0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
0.1,0.9996466529017033,1.0008887142717204,1.0001225647613068,1.00000194683286,1.0000000137313683,1.0000000103059825,1.0000001090312824,0.9999205935207164,1.0001191051739782,1.0000004522839383,1.0000000092672412,1.000034313725264,1.000059214469494,1.0000003739601135,3.629321065151827,0.0,0.0
0.2,0.9953913705552127,1.0100148618648006,1.0021217264844091,1.0001706628046347,0.9999758697231746,1.000010156096696,1.0000109308665814,0.998965981674371,1.0015505300171774,1.000044060022874,1.000006232636278,1.0012949104217783,1.0029805522219437,1.0043457065910406,4.744041044293533,0.0,0.0
0.30000000000000004,0.9911371049760754,1.0167086022905771,1.0043880165319607,1.0005012045446569,0.999891546666179,1.0000441225096586,1.0000372343790935,0.9979846229017971,1.0030212008116135,1.000145821496804,1.0000344106697412,1.0027484813195415,1.0063346954943004,1.0009240916894317,4.744819635430937,0.0,0.0
0.4,0.9871561052834721,1.0212167391990585,1.0061298805793768,1.0008385675828904,0.9997520896898183,1.0000996336740398,1.0000742708377808,0.997003855263969,1.0044901162243884,1.0002825534541064,1.000085321398079,1.0041904754808173,1.0088616812461797,1.0005401934784002,4.7454013464079585,0.0,0.0
0.5,0.9835380001098777,1.0240404793907585,1.0070615614064873,1.0010845552164944,0.999564172497129,1.0001738891699952,1.0001182509499553,0.9960238801487357,1.0059569790989669,1.0004368312065082,1.0001498391483736,1.005620960253918,1.0104615809167539,1.0000840240326279,4.746037305940617,0.0,0.0
0.6000000000000001,0.9803257744472331,1.0256086118447558,1.007168782462677,1.0011832689886249,0.9993336919417728,1.0002644220619483,1.000166295776374,0.9950449158274358,1.0074214643112862,1.0005962347379918,1.0002161663320972,1.0070412244129112,1.0112198202242388,0.9983623861996228,4.746723110510793,0.0,0.0
0.7000000000000001,0.9775286419786984,1.0262776626150831,1.0065772560096102,1.001109292241564,0.9990658270335755,1.0003690707932034,1.0002162975042692,0.9940671698537558,1.0088832610303977,1.0007523640986533,1.0002735351586645,1.008452706569883,1.011294275508644,0.9994005925948015,4.747449586089183,0.0,0.0
0.8,0.9751319563185963,1.0263359259076281,1.005470095952911,1.0008605183768071,0.9987651129573487,1.000485946564712,1.000266782431422,0.9930907869563979,1.0103421515336024,1.0008999590514989,1.0003138036608674,1.0098568182322205,1.0108644206271609,0.9996636770035526,4.74820606758866,0.0,0.0
0.9,0.9731059898439508,1.0260099072604578,1.0040385914688859,1.0004490077885315,0.9984355154104845,1.0006134013695338,1.0003167833487308,0.9921158711325527,1.011797978551046,1.0010361365676508,1.0003318669225545,1.011254850622707,1.0101022698388598,0.9983547363363388,4.7489822357098035,0.0,0.0
1.0,0.9714124113523646,1.0254720847183205,1.0024552705279253,0.9998950830334893,0.9980805014366695,1.0007499979656225,1.0003657254637233,0.991142490977919,1.0132506376204413,1.001159749344484,1.0003254381322393,1.0126479241460502,1.009157174580062,0.9983526699751278,4.749769083409299,0.0,0.0
1.1,0.970008876455219,1.024849128296724,1.0008613663074772,0.9992238581260053,0.9977031046034022,1.000894482478952,1.0004133278719276,0.9901706731211504,1.0147000871781184,1.0012708609581547,1.0002945417016615,1.014036966913034,1.0081495424293079,1.0010872523704306,4.750559322340975,0.0,0.0
1.2000000000000002,0.9688522758522196,1.024229960984636,0.9993631880810495,0.9984629113708935,0.9973059834890036,1.0010457599333142,1.0004595210184732,0.9892003979062381,1.016146355194816,1.0013703282440563,1.0002409193712618,1.015422714372448,1.0071700398189516,1.001688693269013,4.7513474461044956,0.0,0.0
1.3,0.9679016323203221,1.023673245580018,0.9980336372105806,0.9976380377054218,0.9968914732201791,1.00120287273321,1.0005043795189748,0.988231640838487,1.017589477101982,1.0014594786089954,1.0001674636113311,1.01680573149588,1.0062819226469806,1.001714409116528,4.752129603987454,0.0,0.0
1.4000000000000001,0.9671192617277553,1.0232140910515544,0.99691644521619,0.9967731604996606,0.996461630177729,1.0013649819890136,1.0005480690333173,0.9872643594143364,1.0190295155965987,1.0015398687282036,1.000077721561881,1.0181864297564227,1.0055249243721764,1.0012430963450307,4.7529033675389,0.0,0.0
1.5,0.9664718479884755,1.022869842131506,0.9960315081007045,0.9958886066076511,0.9960182704185975,1.0015313514384572,1.0005908055217032,0.9862985139082734,1.020466529476432,1.0016131110352409,0.9999754997163435,1.0195650943969632,1.004919700022806,1.0044685829585054,4.753667466241709,0.0,0.0
1.6,0.9659300121577823,1.022644960134758,0.9953804017876763,0.9950037694006151,0.9955630023730894,1.001701333709765,1.0006328250678027,0.9853340242453247,1.021900638325406,1.00168075514615,0.9998645602080145,1.0209418979407718,1.0044722136487205,1.0011776975032718,4.754421515344617,0.0,0.0
1.7000000000000002,0.9654696721305457,1.0225349767547443,0.9949514321973255,0.9941317814318055,0.9950972546520238,1.0018743585980467,1.0006743624690817,0.9843708570591345,1.0233318919037495,1.0017442125968996,0.9997484208189066,1.0223169409261765,1.0041777319144471,0.9988631136359353,4.755165787169271,0.0,0.0
1.8,0.9650708730659887,1.0225296765566636,0.9947240809125206,0.993283304903324,0.9946222994451611,1.002049923129423,1.000715636900331,0.9834089705938871,1.0247603527668068,1.0018047147188553,0.9996302157875041,1.0236902592289086,1.0040242516729092,1.0005178482206707,4.755900994411411,0.0,0.0
