time,Naive T-cells,helper T-cells,cytotoxic cells,Treg-cells,Naive Dendritic cells,Dendritic cells,Macrophages,Cancer,Necrotic cells,\mu_1,\mu_2,HMGB1,IFN-\gamma,TNF-eta,5-FU,IR,LV
0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
0.1,0.9998066034266594,1.0004855835961308,1.0000674543360424,1.0000011525187105,1.0000001050532352,1.0000000763536903,1.0000000645764036,0.9994548124810508,1.0008177472179836,1.000000267833081,1.0000000056879215,1.0002461562346379,1.0000349103118404,1.0000002007796327,1.6568724014158098,0.0,656.6100511812695
0.2,0.9980945892275741,1.004127811242803,1.000880057934228,1.0000720727574384,0.9998856468765548,1.0000482799286463,1.0000045929822878,0.9953409288954412,1.0069861803172775,1.0000184992428107,1.0000027644100506,1.0057626668194357,1.001232099558146,0.9993702400506272,2.023362690183381,0.0,488.2233076221584
0.30000000000000004,0.9960984830763648,1.0074368946344865,1.0019210473357905,1.000215540816219,0.9995329886936786,1.0001907168306658,1.000015852817424,0.991613332183553,1.0125716079296394,1.000062134170409,1.0000151596929172,1.011253796024544,1.0027481855014027,1.0001392762938202,2.382657917225766,0.0,360.3302342308318
0.4,0.9938655253645792,1.01046193554472,1.0029351298344125,1.000386871069896,0.9989882380476024,1.0004079875890717,1.000033231421699,0.9882904412128468,1.0175467562167866,1.000126869422339,1.000039156576835,1.0161602211525789,1.0042083527931798,0.9988364301106564,2.750137486236946,0.0,263.8957013898748
0.5,0.9914484527519186,1.0132215980996588,1.0037788481309309,1.000549309559709,0.9982984372191618,1.000680785015582,1.000056179627492,0.9853688591009713,1.021917084818333,1.000209046789625,1.000073010964435,1.0204806164340015,1.0055212893295364,0.9994374713713446,3.108263672790774,0.0,191.79227069756237
0.6000000000000001,0.9889076572154449,1.0157067796626629,1.004376593285927,1.0006743904739617,0.9975050087416928,1.000992233941411,1.0000841553212771,0.9828260295322426,1.0257167840909391,1.0003053537840383,1.0001132028126944,1.0242429986612134,1.0066368071949487,0.9993007197848852,3.4401933625812315,0.0,138.38025260970898
0.7000000000000001,0.9863093799833638,1.017892573126147,1.0046945403629082,1.0007391624424493,0.996643133522468,1.0013281097648532,1.0001165816101218,0.9806233658201172,1.0290040642059086,1.0004126189523457,1.0001555359041456,1.0274995897727013,1.0075248128695762,0.9978549229650547,3.7330082334508847,0.0,99.19161231999101
0.8,0.9837207405880136,1.0197528440908288,1.0047264508665055,1.0007253382056271,0.9957414833145501,1.0016769136537484,1.0001528310908157,0.978712130291862,1.0318523228968848,1.000527729658402,1.0001957587482453,1.030318892367228,1.008170014341406,0.997938936208905,3.9796818548734287,0.0,70.7028337017498
0.9,0.9812035308708066,1.0212728227215768,1.0044864000596818,1.0006199878442317,0.9948223916675614,1.0020297726342697,1.0001922369955352,0.9770401601327314,1.0343400495637092,1.000647664416985,1.0002299297893837,1.0327760347303778,1.00857109810419,1.0007406601671904,4.179185623871211,0.0,50.16452807364944
1.0,0.9788090097842187,1.0224563256864732,1.0040045366290309,1.0004162739773805,0.9939024294443938,1.0023801808907986,1.0002341237479881,0.9755575861305021,1.03654224609228,1.0007696006040845,1.0002546507690318,1.0349441554931225,1.0087407574311922,1.0015086880138266,4.33510124695282,0.0,35.463077973549815
1.1,0.9765755136007825,1.0233267925473943,1.0033234011892287,1.0001113450169592,0.9929932511024958,1.0027236376756539,1.0002778452826382,0.9742205573297891,1.038524843434502,1.0008910453085607,1.0002672269858996,1.036888548857381,1.0087045729941186,1.0018360429707083,4.453640712304092,0.0,25.000557197395537
1.2000000000000002,0.9745274630326366,1.0239236028219931,1.00249383903163,0.9997073354365725,0.9921025470115836,1.0030572483235025,1.0003228202581367,0.9729928195128882,1.0403423400811034,1.0010099445477454,1.0002657602626088,1.0386638512066544,1.008498236969505,1.0017824117766636,4.541871417942206,0.0,17.588437632570994
1.3,0.972676656105169,1.024296016004889,1.0015704868362383,0.9992100048946572,0.9912349648416614,1.0033793427674993,1.0003685572380596,0.9718457642869579,1.0420377354861852,1.0011247452831358,1.000249185381625,1.0403136314946462,1.0081636276544468,1.0044512533926258,4.606521854195292,0.0,12.355360401561445
1.4000000000000001,0.9710237990061142,1.0244968689323857,1.0006073810729375,0.9986302033947125,0.9903929159502792,1.0036891442631213,1.000414667422509,0.970757541001166,1.0436438689210648,1.0012344044812487,1.0002172424692344,1.0418714126072912,1.0077445967352614,1.0020791867740446,4.653375895339355,0.0,8.670068187836897
1.5,0.9695620250715004,1.0245773025044231,0.999654161608118,0.9979789920650424,0.9895772329601257,1.0039865008348583,1.0004608658923682,0.9697119157618336,1.0451851367471001,1.0013383531698061,1.0001704081167913,1.0433623385785555,1.0072832241475846,0.9998551390740427,4.6870912913999385,0.0,6.079514875615987
1.6,0.9682787432725887,1.024583105879154,0.9987533291465585,0.9972690353720131,0.9887876788027987,1.004271678411744,1.0005069640912632,0.9686970191048877,1.0466793755863117,1.0014364296775227,1.000109776500754,1.0448049147667604,1.0068169790369803,1.001725797471265,4.711258647003991,0.0,4.260860617050632
1.7000000000000002,0.9671574046811421,1.0245526393444095,0.9979386169208441,0.996515241537528,0.9880233256911302,1.0045452075637495,1.0005528567335673,0.9677042557726899,1.0481395012704866,1.0015287968878714,1.0000369182593116,1.046212572943512,1.0063769297252567,1.0011429403927439,4.728564558467576,0.0,2.9852575999485427
